image_name,target
ISIC_0000013,malignant
ISIC_0000014,benign
ISIC_0000022,malignant
ISIC_0000025,benign
ISIC_0000085,benign
ISIC_0000071,benign
ISIC_0000049,malignant
ISIC_0000076,malignant
ISIC_0000082,benign
ISIC_0000040,malignant
ISIC_0000078,malignant
ISIC_0000047,benign
ISIC_0000024,benign
ISIC_0000023,benign
ISIC_0000015,benign
ISIC_0000012,benign
ISIC_0000079,benign
ISIC_0000046,malignant
ISIC_0000041,benign
ISIC_0000048,benign
ISIC_0000083,benign
ISIC_0000077,malignant
ISIC_0000070,malignant
ISIC_0000084,benign
ISIC_0000052,benign
ISIC_0000099,benign
ISIC_0000055,benign
ISIC_0000097,benign
ISIC_0000063,benign
ISIC_0000064,benign
ISIC_0000090,benign
ISIC_0000030,malignant
ISIC_0000008,benign
ISIC_0000037,benign
ISIC_0000001,benign
ISIC_0000039,benign
ISIC_0000006,benign
ISIC_0000091,benign
ISIC_0000065,benign
ISIC_0000062,benign
ISIC_0000096,benign
ISIC_0000054,malignant
ISIC_0000053,benign
ISIC_0000098,benign
ISIC_0000038,benign
ISIC_0000007,benign
ISIC_0000000,benign
ISIC_0000009,benign
ISIC_0000036,malignant
ISIC_0000031,malignant
ISIC_0000075,benign
ISIC_0000081,benign
ISIC_0000086,benign
ISIC_0000072,benign
ISIC_0000044,benign
ISIC_0000088,benign
ISIC_0000043,malignant
ISIC_0000017,benign
ISIC_0000028,benign
ISIC_0000010,benign
ISIC_0000026,malignant
ISIC_0000019,benign
ISIC_0000021,benign
ISIC_0000089,benign
ISIC_0000042,benign
ISIC_0000045,benign
ISIC_0000073,benign
ISIC_0000087,benign
ISIC_0000080,benign
ISIC_0000074,malignant
ISIC_0000020,benign
ISIC_0000027,benign
ISIC_0000018,benign
ISIC_0000011,benign
ISIC_0000016,benign
ISIC_0000029,malignant
ISIC_0000034,benign
ISIC_0000033,benign
ISIC_0000005,benign
ISIC_0000002,malignant
ISIC_0000056,malignant
ISIC_0000069,benign
ISIC_0000051,benign
ISIC_0000067,benign
ISIC_0000093,benign
ISIC_0000058,benign
ISIC_0000094,benign
ISIC_0000060,benign
ISIC_0000003,benign
ISIC_0000004,malignant
ISIC_0000032,benign
ISIC_0000035,malignant
ISIC_0000061,benign
ISIC_0000095,benign
ISIC_0000092,benign
ISIC_0000066,benign
ISIC_0000059,benign
ISIC_0000050,benign
ISIC_0000057,benign
ISIC_0000068,benign
