image_name,target
ISIC_0000048,benign
ISIC_0000071,benign
ISIC_0000025,benign
ISIC_0000047,benign
ISIC_0000052,benign
ISIC_0000014,benign
ISIC_0000064,benign
ISIC_0000083,benign
ISIC_0000079,benign
ISIC_0000024,benign
ISIC_0000015,benign
ISIC_0000097,benign
ISIC_0000099,benign
ISIC_0000012,benign
ISIC_0000084,benign
ISIC_0000055,benign
ISIC_0000056,malignant
ISIC_0000013,malignant
ISIC_0000077,malignant
ISIC_0000030,malignant
ISIC_0000031,malignant
ISIC_0000049,malignant
ISIC_0000036,malignant
ISIC_0000054,malignant
ISIC_0000029,malignant
ISIC_0000078,malignant
ISIC_0000040,malignant
ISIC_0000035,malignant
ISIC_0000043,malignant
ISIC_0000070,malignant
ISIC_0000026,malignant
ISIC_0000022,malignant
